Название объекта,Адрес,Идентификатор,Ввод в эксплуатацию,Полное наименование застройщика,Название группы застройщика,Дата публикации,Выдача ключей,Средняя цена,Распроданность квартир %,Описание класса объекта,Количество квартир
-,"город Сочи, район Лазаревский, Улица Туристская",61574,2029-09-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ГРИНСТРОЙ-ЮГ,-,2024-08-21,23-01-2030 12:00,-,-,Бизнес,0
-,"город Сочи, район Лазаревский, Улица Туристская",61573,2029-09-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ГРИНСТРОЙ-ЮГ,-,2024-08-21,23-01-2030 12:00,-,-,Бизнес,0
-,"город Сочи, район Лазаревский, Улица Туристская",61572,2029-09-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ГРИНСТРОЙ-ЮГ,-,2024-08-21,23-01-2030 12:00,-,-,Бизнес,0
-,"город Сочи, район Лазаревский, Улица Туристская",61571,2029-09-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ГРИНСТРОЙ-ЮГ,-,2024-08-21,23-01-2030 12:00,-,-,Бизнес,0
-,"город Сочи, район Лазаревский, Улица Туристская",61570,2029-09-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ГРИНСТРОЙ-ЮГ,-,2024-08-21,23-01-2030 12:00,-,-,Бизнес,0
Загородный квартал ЛЕСОЧИ корпус 19,"город Г Сочи, Улица Джапаридзе",60682,2025-09-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СМО-7,-,2024-07-03,30-12-2025 12:00,-,-,Бизнес,10
Загородный квартал ЛЕСОЧИ корпус 18,"город Г Сочи, Улица Джапаридзе",60681,2025-09-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СМО-7,-,2024-07-03,30-12-2025 12:00,-,-,Бизнес,10
Загородный квартал ЛЕСОЧИ корпус 11,"город Г Сочи, Улица Джапаридзе",60680,2025-09-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СМО-7,-,2024-07-03,30-12-2025 12:00,-,-,Бизнес,10
Загородный квартал ЛЕСОЧИ корпус 10,"город Г Сочи, Улица Джапаридзе",60679,2025-09-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СМО-7,-,2024-07-03,30-12-2025 12:00,-,-,Бизнес,10
Загородный квартал ЛЕСОЧИ корпус 6,"город Г Сочи, Улица Джапаридзе",60678,2025-09-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СМО-7,-,2024-07-03,30-12-2025 12:00,-,-,Бизнес,10
Загородный квартал ЛЕСОЧИ корпус 5,"город Г Сочи, Улица Джапаридзе",60677,2025-09-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СМО-7,-,2024-07-03,30-12-2025 12:00,-,-,Бизнес,10
Загородный квартал ЛЕСОЧИ корпус 4,"город Г Сочи, Улица Джапаридзе",60676,2025-09-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СМО-7,-,2024-07-03,30-12-2025 12:00,-,-,Бизнес,10
Загородный квартал ЛЕСОЧИ корпус 3,"город Г Сочи, Улица Джапарадзе",60675,2025-09-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СМО-7,-,2024-07-03,30-12-2025 12:00,-,-,Бизнес,10
Загородный квартал ЛЕСОЧИ корпус 2,"город Г Сочи, Улица Джапаридзе",60674,2025-09-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СМО-7,-,2024-07-03,30-12-2025 12:00,-,-,Бизнес,10
Загородный квартал ЛЕСОЧИ корпус 1,"город Г Сочи, Улица Джапаридзе",60673,2025-09-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СМО-7,-,2024-07-03,30-12-2025 12:00,-,-,Бизнес,10
Загородный квартал ЛЕСОЧИ корпус 17,"город Г Сочи, Улица Джапаридзе",60670,2025-09-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СМО-7,-,2024-07-03,30-12-2025 12:00,-,-,Бизнес,10
Загородный квартал ЛЕСОЧИ корпус 16,"город Г Сочи, Улица Джапаридзе",60669,2025-09-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СМО-7,-,2024-07-03,30-12-2025 12:00,-,-,Бизнес,10
Загородный квартал ЛЕСОЧИ корпус 15,"город Г Сочи, Улица Джапаридзе",60668,2025-09-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СМО-7,-,2024-07-03,30-12-2025 12:00,-,-,Бизнес,10
Загородный квартал ЛЕСОЧИ корпус 14,"город Г Сочи, Улица Джапаридзе",60667,2025-09-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СМО-7,-,2024-07-03,30-12-2025 12:00,-,-,Бизнес,10
Загородный квартал ЛЕСОЧИ корпус 13,"город Г Сочи, Улица Джапаридзе",60666,2025-09-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СМО-7,-,2024-07-03,30-12-2025 12:00,-,-,Бизнес,10
